platform,domain,cat,tier,public_profile,gate,signup_url,signup_url_status,sample_public_profile_url,help_url,link_policy,link_policy_status,link_policy_source,link_slots,link_slots_status,rel_observed,rel_status,rel_source,meta_robots,canonical,indexable,indexable_status,js_rendered,http_status,maxlength_fields,observed_at,review_time,fee,kyc_docs,deep_link_assigned,notes
Bark,bark.com,DIR,3,Y,OTP,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/consulting/product-monetisation-consultant,
LinkedIn Services Marketplace,linkedin.com,JOB,1,Y,OTP,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/consulting/saas-product-consultant,
Wellfound,wellfound.com,JOB,3,Y,OTP,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/consulting/marketplace-product-consultant,
Crunchbase,crunchbase.com,ENT,1,Y,OTP,,unknown,,,Person profiles accept a website link.,reported,https://www.seostrategy.co.uk/learn/crunchbase-seo/,website,reported,nofollow,reported,https://www.seostrategy.co.uk/learn/crunchbase-seo/,,,,unknown,,,,,,,,/product-growth-score,"rel reported by third-party SEO sources, not by Crunchbase. Lower confidence than Clutch — verify.py should confirm."
F6S,f6s.com,ENT,2,Y,OTP,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/case-study/carinfo-45m-mau,
Product Hunt,producthunt.com,ENT,2,Y,OTP,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/case-study/seo-0-to-100k,
Medium,medium.com,ENT,2,Y,OTP,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/case-study/insurance-funnel-1200-growth,
Substack,substack.com,ENT,3,Y,OTP,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/case-study/programmatic-seo-calculators,
YouTube,youtube.com,ENT,3,Y,OTP,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/case-study/rank-1-fintech-keywords,
X,x.com,ENT,2,Y,OTP,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/case-study/seo-moat-remittance,
About.me,about.me,ENT,3,Y,OTP,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/case-study/growth-loop-repeat-users,
